"sd" "max" "mean" "range" "Vegetation.type"
"1" "0.158981302223155" "0.659631192684174" "0.357122441762022" "0.638247068971396" "savanna"
"2" "0.150986277869683" "0.652065813541412" "0.348035778667321" "0.628888309001922" "savanna"
"3" "0.148299645986282" "0.658670604228973" "0.34887335697636" "0.627424331381917" "savanna"
"4" "0.181550142261493" "0.747034251689911" "0.397612895303164" "0.73389748390764" "savanna"
"5" "0.162080995217469" "0.684444725513458" "0.366450791887408" "0.67410747263841" "savanna"
"6" "0.175941442206464" "0.794251322746277" "0.420720274806986" "0.776618180796504" "savanna"
"7" "0.154266915403674" "0.653378009796143" "0.34496793033534" "0.639179827645421" "savanna"
"8" "0.163140848007603" "0.714524984359741" "0.372823670097978" "0.691321067512035" "savanna"
"9" "0.198594076975604" "0.778581417207308" "0.378518077018553" "0.768888159696646" "savanna"
"10" "0.175382788710512" "0.706407426078189" "0.368451774349055" "0.68807149693774" "savanna"
"11" "0.217626299042767" "0.851720213890076" "0.476815101850659" "0.823304371908307" "gallery forest"
"12" "0.248657926274826" "0.972738683223724" "0.5213510953105" "0.960321777500212" "gallery forest"
"13" "0.211700277021658" "0.872993812862246" "0.444875594574715" "0.855664056691735" "gallery forest"
"14" "0.265102585478032" "0.95628821849823" "0.537566338530797" "0.941669511608779" "gallery forest"
"15" "0.249183210537816" "0.913648724555969" "0.523726131711328" "0.906439831014722" "gallery forest"
"16" "0.235310630968123" "0.858064889907837" "0.491507125060958" "0.834747711196542" "gallery forest"
"17" "0.199134719850738" "0.779608280217803" "0.418977971038552" "0.754927375173724" "gallery forest"
"18" "0.254838280770322" "0.888557964898613" "0.502987360289854" "0.864339863844183" "gallery forest"
"19" "0.234631769674047" "0.803901612758636" "0.467473264524711" "0.785472905263304" "gallery forest"
"20" "0.251527496051344" "0.846177879608415" "0.523158003855688" "0.821160592026256" "gallery forest"
"21" "0.261511547384262" "1.06904244422913" "0.486031430977625" "1.03994738683105" "dry forest"
"22" "0.238752164585677" "0.973766803741455" "0.506850036943792" "0.936054941266775" "dry forest"
"23" "0.252954607649257" "0.98518842458725" "0.463378726611185" "0.945467032492161" "dry forest"
"24" "0.226275116803864" "0.951275110244751" "0.469860785670875" "0.915756814181805" "dry forest"
"25" "0.229058339171949" "0.963789165019989" "0.565884469220338" "0.942018516361713" "dry forest"
"26" "0.257146885633963" "1.11400939585806" "0.571700777306717" "1.08972310522736" "dry forest"
"27" "0.268388303625892" "1.17084002494812" "0.589699902232883" "1.14555005915463" "dry forest"
"28" "0.266641407278539" "1.08368396759033" "0.507116259229953" "1.04724534228444" "dry forest"
"29" "0.229914947120838" "1.02848660945892" "0.526685924089369" "0.988322846591469" "dry forest"
"30" "0.217144721867005" "0.943141102790833" "0.498838249291768" "0.90897261723876" "dry forest"
"31" "0.217979761250967" "0.775421380996704" "0.441024035285232" "0.756326949223876" "grassland"
"32" "0.172457572870559" "0.741847336292267" "0.343460527432689" "0.71739486977458" "grassland"
"33" "0.196134681041434" "0.77243572473526" "0.398745502147593" "0.749556988477707" "grassland"
"34" "0.199432292486665" "0.779178088297564" "0.403849048978468" "0.753772455965597" "grassland"
"35" "0.160204976327486" "0.633722543716431" "0.335226597812552" "0.607684860005975" "grassland"
"36" "0.154915487169113" "0.628699855588504" "0.319517908196902" "0.602435240231582" "grassland"
"37" "0.153286633995135" "0.73936527967453" "0.313176247392379" "0.71654836088419" "grassland"
"38" "0.15043480708673" "0.73445075750351" "0.308843155551885" "0.710345603525639" "grassland"
"39" "0.135619036566317" "0.622234225273132" "0.296432622167552" "0.596447175368666" "grassland"
"40" "0.127777075615345" "0.558990478515625" "0.286176851590467" "0.533122109249234" "grassland"
"41" "0.156115017205426" "0.642081797122955" "0.31730735173951" "0.618644764646887" "grassland"
"42" "0.150237883795964" "0.639095783233643" "0.309340546426812" "0.612636612728239" "grassland"
"43" "0.152906757678277" "0.632652673207088" "0.315968003048128" "0.609894504107399" "grassland"
"44" "0.155196405863893" "0.624022781848907" "0.324499965903701" "0.6015364844352" "grassland"
"45" "0.157639704488625" "0.664366543292999" "0.328276850424019" "0.642206240445375" "grassland"
"46" "0.153771492799657" "0.658942997455597" "0.328277961045312" "0.636668376624584" "grassland"
"47" "0.144582713728288" "0.624379873275757" "0.311100765043614" "0.598110029473901" "grassland"
"48" "0.164568681619132" "0.699649393558502" "0.333480460145622" "0.674935944378376" "grassland"
"49" "0.158048040323483" "0.652006983757019" "0.326406764803166" "0.62474918551743" "grassland"
"50" "0.164862500100856" "0.664690852165222" "0.331558833754055" "0.638947445899248" "grassland"
