"Bark_thickness" "Tree_height" "basal_area_total" "cwm_basal_area" "Vegetation_type"
"IS1" 1.44 5.78 3506.93938229414 350.693938229414 "savanna"
"IS2" 0.970454545454545 4.06136363636364 1266.81366390783 57.5824392685376 "savanna"
"IS5" 1.10588235294118 2.95441176470588 1784.62427125731 52.4889491546267 "savanna"
"ES1" 0.966666666666667 3.58 860.320002630395 86.0320002630395 "savanna"
"ES3" 0.811764705882353 3.35947368421053 990.9583587938 52.1557030944105 "savanna"
"ES4" 1.09423076923077 4.71923076923077 2998.35976164399 115.321529294 "savanna"
"BS1" 1.21153846153846 2.76 1795.45476513471 128.246768938194 "savanna"
"BS2" 1.00263157894737 3.07368421052632 697.297594421367 36.6998733905982 "savanna"
"MS1" 1.10740740740741 3.91407407407407 2141.92711849861 79.3306340184672 "savanna"
"MS2" 1.08148148148148 3.58703703703704 1752.43518401697 64.9050068154435 "savanna"
"IC3" 1.5 14.6470588235294 5017.67789085818 295.157522991658 "gallery_forest"
"EC2" 1.46923076923077 16.6666666666667 10546.0640997304 270.411899993087 "gallery_forest"
"EC3" 1.7390625 20.65625 11306.4467347198 353.326460459993 "gallery_forest"
"BC1" 1.45357142857143 8.06666666666667 3074.88862025501 256.240718354584 "gallery_forest"
"BC2" 1.62647058823529 11.5294117647059 2918.42419147608 171.672011263299 "gallery_forest"
"BQ8" 1.475 8.25 9349.94546999454 584.371591874659 "gallery_forest"
"RC1" 1.83571428571429 7.97058823529412 18474.2426532228 527.835504377795 "gallery_forest"
"RC2" 1.51724137931034 7.92857142857143 8254.92046856124 284.652429950388 "gallery_forest"
"RC3" 1.68703703703704 9.25925925925926 14763.6318944793 546.80118127701 "gallery_forest"
"MC1" 0.95 11.2 12232.4245175733 611.621225878666 "gallery_forest"
"SR1" 0.783783783783784 7.89189189189189 2905.83105660394 78.5359745028092 "dry_forest"
"SG1" 1.00291666666667 8.85416666666667 4661.05145212502 194.210477171876 "dry_forest"
"SP1" 0.78 8.77142857142857 2899.94232370954 82.8554949631297 "dry_forest"
"SP2" 0.953863636363636 7.87045454545455 2755.37154382787 62.6220805415425 "dry_forest"
"SS1" 1.15945945945946 10.6210526315789 5738.48824079723 147.140724123006 "dry_forest"
"SS2" 0.936486486486486 12.7567567567568 4094.2243054021 110.654710956813 "dry_forest"
"SS3" 0.959333333333333 12.2166666666667 4619.1085541973 153.97028513991 "dry_forest"
"SD1" 1.25225 10.9875 5917.22481231244 147.930620307811 "dry_forest"
"SD2" 0.980769230769231 10.4038461538462 4994.76355792653 192.106290689482 "dry_forest"
"SD3" 1.3625 7.715 9411.35381323711 470.567690661856 "dry_forest"
